Drug Name,Price
ACULAR 0.5% eye drops,23
VENTAL 2mg tabs.,1
"MEDIVIT SYRUP
(APPROVED:RE-REG.)",3
NEO-HAEMORRHAN oint.,3
DECLOPHEN 75mg amp. (R1),11
DECLOPHEN 75mg amp.,6
PNEUMO 23 (25mcg/0.5ml) vaccine S.C/ I.M inj.,78
DERMAZIN 5gm/50gm cream (R1),11
DERMAZIN 5gm/50gm cream,4
"AMOXIL 500mg  vial
(APPROVED:RE-REG.)",4
HEPABIG 200 I.U./ml  inj.,300
PHILOZAC 10mg caps.,7
PHILOZAC 20mg caps.,9
MOSEDIN 5mg/5ml  syrup,6
NEUROFENAC caps.,6
"VITA-3 amp.
(APPROVED RE-REG.)",5
EXELON 3mg hard gelatin caps. (R1),210
EXELON 3mg hard gelatin caps.,105
RINOSIN nasal drops,2
DERMATIN 1gm/100gm top. Cream (R1),2
DERMATIN 1gm/100gm top. Cream,1
DERMATIN 10mg/ml topical solution,1
ANALLERGE 4 mg tab.,1
"PRISOLINE eye & nasal drops
(APPROVED RE-REG.)",3
BILTRICIDE 600mg f.c. tab.,9
RANITIDINE 25mg/ml amp. For parentral inj.,9
DISPERCAM  20 mg supp.,3
OCUSUL 20% eye drops,1
COMBIZYM coated tab.,4
HEPAMOL 500mg  tab.,4
ZYLOFEN  1mg tab.,5
THEO 100mg S.R.caps.,3
THEO 200mg S.R.caps.,3
THEO 300mg S.R.caps.,3
BACTICLOR 250 mg/5ml susp.,22
BACTICLOR 500 mg caps.,33
"SPASMAG caps.
(APPROVED:RE-REG)",6
HUMULIN N 40I.u./ml vial,6
HUMULIN R 40I.u./ml vial,8
HUMULIN 70/30 40 I.U./ml vial,6
FUSIDERM 2gm/100gm oint.,6
DIMETROL susp.,4
FAM 10mg tab.,5
FLUBENZOLE 2% oral susp.,2
LEVOCAR 100/25mg tab.,10
TEKLO tabs.,6
GREEN-VIII INJ. 250 I.U./vial.,480
IBUFEN 2% susp. (R1),2
IBUFEN 2% susp.,3
BEBE-VIT oral drops,4
SALAZO SULF-PYRINE 500mg tab.,4
"URIPAN 0.1% syrup
(APPROVED RE-REG.)",8
AMADOL 50mg hard gelatin caps.,4
"TAVEGYL  10mg/100ml syrup
(SUSPENDED RE-REG.)",6
NAPROSYN 500 mg supp.,7
"TESTONE E amp.
(APPROVED RE-REG)",2
BETACORE 80mg tab.,4
FOLIC ACID 5mg tab.,2
AMOTRIL 0.5mg tab.,3
ITRAPEX 100mg hard gelatin caps.,16
BACTICLOR 125mg/5ml susp.,12
MICOSONE cream,5
CANESTEN 3 2% vaginal cream,9
"MAXIPIME 1gm vial
(APPROVED RE-REG.)",38
"MAXIPIME 0.5gm vial
(APPROVED:RE-REG.)",22
VIGAM-S 5 % w/v inj. (R1),2200
VIGAM-S 5 % w/v inj.,1130
FLOTAC 75mg hard gelatin caps.,25
VOLTAREN  12.5mg infantile supp.,4
HAEMA caps.,10
"ADWIFLAM 50mg E.R.caps.
(approved re-reg)",4
DOXY M.R.100mg caps.,7
PROTOZOLE 500  mg f.c. tabs.,2
"DOXIUM 500mg caps.
(APPROVED RE-REG.)",6
RANITIDINE 150mg tablet,12
PANTHO EVA 5% emulgel,3
CURAZOLE 2gm/100gm topical cream,5
AMRISTATIN 20mg f.c.tab.,26
"VENTAL COMPOSITUM 200 doses spray
(APPROVED:RE-REG)",14
SAVLON antiseptic solution,3
CONTRACTUBEX top. Gel (R1),18
CONTRACTUBEX top. Gel,11
"CALAMYL-D LOTION
(APPROVED RE-REG.)",3
AMOTRIL 2mg tab.,6
"FLADAZOLE 500mg tab.
(APPROVED:RE-REG.)",9
PANVIRIN 400mg H.G.caps.,48
MINALIP 20mg f.c. tabs.,26
PANVIRIN 200mg hard gelatin caps.,32
CLARITHRO 250mg f.c.tab.,25
LOSARTAN  50mg tab.,18
NOVACID OBLONG 500 mg tab.,2
"VENDEXINE syrup 
(APPROVED RE-REG)",4
PANTHO EVA 7.5% topical sol.,3
AMLODIPINE 5mg tab.,9
OCUSUL 30% eye drops,1
OCUSUL 10% eye drops,1
CEPHADROL POWDER FOR ORAL SUSP. 250 MG/5 ML,7
"ENTEROQUIN 250mg tab.
(APPROVED RE-REG) (R1)",4
"ENTEROQUIN 250mg tab.
(APPROVED RE-REG)",2
RYTMONORM 70mg/20ml amp.,80
TRIVASTAL 20mg sugar coated tab.,8
KETOFAN 100mg/2ml I.M.amp.,3
CARBOSYLANE caps.,10
"TIOCON 1% cream
(APPROVED RE-REG)",6
MENOGON 75I.u.amp.,50
TETANUS ANTITOXIN 1500 IU/ml,2
ABIMOL EXTRA tab. (R1),5
ABIMOL EXTRA tab.,2
FUSIDERM 2gm/100gm top. Cream,6
COMBIVENT unit dose vial,64
ADCOKION 10mg chew.tab.,5
CEPHADROL POWDER FOR ORAL SUSP. 125 MG/5 ML,4
DIOLAX 7.5mg tab.,2
BENYLIN paed.syrup,4
FLUMETOL S 0.1% sterile eye drops,4
"VENTOLIN EXPECTORANT syrup
(approved re-reg)",5
ULTRAFEN 100 mg/5ml susp.,3
ELDOPAQUE FORTE 4 % sunblock cream (R1),51
ELDOPAQUE FORTE 4 % sunblock cream,30
BRONCHOVENT syrup,3
RONATRIL 0.5mg tab.,2
SPASMODIN 5 mg tab.,2
RONATRIL 2mg tab.,2
VASCON  5mg tab.,2
NIMOTOP 0.01gm/50ml I.V. inf.,142
KANZAR 25mg f.c. tab.,10
ALKOR 10mg f.c. tabs.,18
LOMEFLOX  400mg f.c.  tab.,23
ERYTIN  gel (R1),8
ERYTIN  gel,6
BETNOVATE 0.1gm/100gm top. Cream,5
BETNOVATE- C topical Cream,5
"NOLICE 0.4gm/100 ml lotion
(APPROVED RE-REG.)",5
LAXEOL-PI 750mg/100 ml oral drops (R1),1
LAXEOL-PI 750mg/100 ml oral drops,2
HYPERIUM  1mg  tab.,14
STABLON 12.5mg sugar coated tab.,17
UBRETID 5 mg tab.,10
GINKOR FORT  capsule,11
BETAVAL 100mg/100gm top. Cream (R1),3
BETAVAL 100mg/100gm top. Cream,2
ELDOQUINE FORTE 4 % cream (R1),30
ELDOQUINE FORTE 4 % cream,51
ELDOQUINE 2 % cream,20
ELDOPAQUE 2% sunblock cream,20
KAPECT susp.,2
KAPECT COMPOUND susp.,3
DIPROFOS  amp.,14
"CIPROCIN 0.3% eye/ear drops
(APPROVED:RE-REG)",5
BETNOVATE 0.1gm/100gm top. Oint.,5
"SORBIT PACKETS 5 GM
(APPROVED:RE-REG.)",5
ORASTATIN  100.000 U/ml oral susp.,5
CORNEREGEL 50mg/g  eye gel,7
"VITAMOUNT syrup
(APPROVED:RE-REG.) (R1)",8
"VITAMOUNT syrup
(APPROVED:RE-REG.)",5
CONTRAMAL 50 mg hard gelatin capsules (R1),4
CONTRAMAL 50 mg hard gelatin capsules,9
TENEDONE 100/25mg f.c.tablet (R1),8
TENEDONE 100/25mg f.c.tablet,17
URSOGALL 300mg hard gelatin caps.,12
ALLERBAN syrup,7
ALLERBAN S.R. 2mg tab.,8
"TENEDONE 50/25mg f.c.tablet
(Approved re-Reg) (R1)",11
"TENEDONE 50/25mg f.c.tablet
(Approved re-Reg)",6
AMOXICID  250mg hard gelatin caps.,4
AMOXICID 500 mg hard gelatin caps.,8
ACTIVATE 200mg sugar coated tablet (R1),5
ACTIVATE 200mg sugar coated tablet,15
CLINDAM 150 mg  hard gelatin caps.,8
BENDAX 200 mg  tablet,3
"TAZOCIN INJ. 4.5 gm
(APPROVED:RE-REG.)",90
ULTRAFEN 600 mg tab.,8
"FEMIGIN B vaginal sachets
(APPROVED RE-REG)",2
"KETOLGIN 2.5% gel
(APPROVED RE-REG) (R1)",7
"KETOLGIN 2.5% gel
(APPROVED RE-REG)",3
KETOLGIN 100mg supp.,2
VIOTIC ear drops,5
VOMISTOP soft gelatin caps.,5
TAVANIC 500mg f.c.tab,85
TAVANIC 500mg/100ml vial for I.V. inf.,82
ACILOC 75mg film coated tablet,3
BENDAX 100mg/5ml susp. (R1),3
BENDAX 100mg/5ml susp.,5
ACILOC 300mg film coated tablet,9
RIMACTAZIDE 300mg coated tab.,7
PLAQUENIL 200mg f.c.tab.,14
ALDACTONE 25mg tab,4
ISOPTO MAXIDEX 0.1% eye drops,8
CLINDAM 300 mg  hard gelatin caps.,10
KAVA 150mg caps.,9
"CURAZOLE-H shampoo
(APPROVED RE-REG)",12
GLUCOSAMINE caps.,14
"MERONEM 1000mg I.V.vial(Hospital)
(APPROVED:RE-REG.)",103
"MERONEM 500mg I.V.vial
(APPROVED:RE-REG.)",80
"GLURENOR 30mg tab.
(APPROVED:RE-REG.)",10
ETAPHYLLINE PHENOBARBITAL supp.,3
EZAPRIL-CO tabs.,7
"PRISOLINE ZINC eye drops
(APPROVED RE-REG)",3
MICONAZ 400mg VAGINAL OVULES,8
HALOTHANE inhaler (R1),100
HALOTHANE inhaler,45
NIZATINE 150mg  hard gelatin caps.,17
BROPAM 3mg tab.,2
FERROFOL caps.,4
"KETOLGIN 50mg film coated tab.
(Approved Re-reg)",2
"KETOLGIN 25mg enteric coated tab.
(APPROVED:RE-REG.)",2
TOP FAM 25mg tab.,2
EARO-CURE drops,4
"ITRANOX 100mg caps.
(APPROVED:RE-REG.)",16
"ADWINERVE 500mcg caps.
(APPROVED:RE-REG.)",3
ANTICOX II 7.5mg caps.,6
AMADOL 100mg S.R. tab.,7
"EPIRAN 75mg  tab.
(APPROVED:RE-REG.)",3
"ANTICOX II 15mg tab.
(APPROVED RE-REG.)",10
"ADWINERVE PLUS caps.
(APPROVED RE-REG)",3
BONAPEX 10mg tab.,28
APEXIDONE 1mg f.c.tab.,15
APEXIDONE 3mg f.c.tab.,28
"PAEDIATRIC TRACE ELEMENTS 10ML VIAL
(APPROVED RE-REG.)",17
VITAMIN A 25000 I.u.soft gelatin caps.,2
"BETO-12 1mg/ml amp.
(APPROVED:RE-REG.)",4
"KETOLGIN 100mg amp.
(APPROVED:RE-REG.)",3
PEFLOX 400mg f.c. tabs.,28
"TRICARDIA 20mg tab
(APPROVED RE-REG)",8
VICKSACID OINT.,4
MYOFEN caps. (R1),7
MYOFEN caps.,4
MICAZOLE 2gm/100gm oral gel (R1),8
MICAZOLE 2gm/100gm oral gel,5
INDERAL 10 mg tab (R1),9
INDERAL 10 mg tab,2
ALDACTONE 100mg tab,9
PYRAL 500mg tab.,2
AMOXIL suspension 125mg/5ml (R1),6
AMOXIL suspension 125mg/5ml,4
MICONAZ 2gm/100gm CREAM,3
CLINDACYN 300mg caps.,8
PIRAFENE 2mg/5ml syrup,2
COUGH CUT 7.5 mg/5 ml syrup,4
AMOXIL FORT 250mg/5ml suspension (R1),9
AMOXIL FORT 250mg/5ml suspension,6
CLINDACYN 150mg caps.,6
ZYLOFEN 20mg/100ml syp.,6
PONSTAN FORTE  500mg caps.,5
"VERMIZOL 200mg tab.
(APPROVED:RE-REG.) (R1)",3
"VERMIZOL 200mg tab.
(APPROVED:RE-REG.)",2
"GRISEOVIN 2.5% susp.
(APPROVED RE-REG)",5
DOLPHIN 12.5mg supp.,2
DOLPHIN 25mg supp.,3
MEXICAM 7.5mg f.c.tab.,6
INDERAL 40 mg tab (R1),12
INDERAL 40 mg tab,2
EPISTIGMIN 2.5mg/ml vial,6
"CAPOTRIL 50mg tab.
(APPROVED RE-REG.)",5
RECOFOL 10mg/ml amp./vial (Hospital) (R2),100
RECOFOL 10mg/ml amp./vial (Hospital) (R1),18
RECOFOL 10mg/ml amp./vial (Hospital),50
MELOXICAM  15mg supp.,6
CLINDASOL 0.3gm/30ml top. Soln.,6
AZROLID 500mg f.c. tab.,18
"TRAMADOL 100mg/2ml amp.
(APPROVED RE-REG.)",4
CHORAGON 5000 I.U.,14
COENZYME Q10 30mg caps.,18
ZEPEXENE  5  mg caps.,2
OTOCORT Ear drops,5
SALEX AMP. 20 mg/2 ml,2
AROZOLE 100mg caps.,16
"GASTROCURE 30mg caps.
(APPROVED RE-REG.)",28
"DOMPIDONE 100mg/100ml oral susp
(APPROVED:RE-REG.)",4
ROVAC 3M.I.U. f.c.tab.,17
"MONOZIDE 20/12.5 tab.
(APPROVED RE-REG)",25
"MONOZIDE 10/12.5  tab.
(APPROVED RE-REG.)",17
"CONCOR 5/12.5  PLUS  f.c.tab.
(APPROVED:RE-REG.)",7
AMPICILLIN 125mg/5ml susp.,2
ZISROCIN 500 mg caps.,18
"ALLERGEX 1.5mg/100gm cream
(APPROVED RE-REG)",2
PROMACID 25 mg tab.,1
LOW PRESS 100mg  tab.,4
CLENIL (R) FORTE SPRAY 50 mg /CAN,31
"TEGRETOL CR 200mg f.c.divitab.
(APPROVED RE-REG.)",8
REHYDRO ZINC,2
OSPEXIN 250mg/5ml susp.,7
HISTA-TOP 1.34mg tab.,2
OSPEXIN 125mg/5ml susp.,5
HEPA-MERZ GRANULATE 3 gm granules in sachets,25
"GLYCERIN INFANT supp.
(APPROVED:RE-REG)",0
"VASOCARE 400mg S.R.tab.
(APPROVED:RE-REG.)",7
"REFOBACIN 40mg amp.
(APPROVED RE-REG.)",4
"REFOBACIN 80mg amp.
(APPROVED RE-REG.)",7
CINIBRAL tablet (R1),7
CINIBRAL tablet,14
ALPHAGAN 0.2% eye dps.,55
SPASMOTALIN  100mg f.c. tabs.,3
"MELOXICAM 15mg tab.
(APPROVED RE-REG)",10
"FLU CUT tab.
(APPROVED RE-REG)",4
"MYCOPHARM 2% tincture
(APPROVED:RE-REG.)",4
CHEMOTRIM 200/40 susp.,2
"NOLICE 0.4gm/100ml shampoo
(APPROVED:RE-REG.)",7
"VERMIZOLE 200mg/5ml susp.
(APPROVED:RE-REG.)",4
"KETOLGIN SR 200mg caps.
(APPROVED:RE-REG.) (R1)",8
"KETOLGIN SR 200mg caps.
(APPROVED:RE-REG.)",14
"THYROCIL 50mg tab.
(APPROVED:RE-REG.)",6
RANI 150mg sachets.,4
TARKA 180/2 M.R. tab.,38
ZITHROKAN 500mg hard gelatin caps.,18
"MYOLASTAN 50mg coated tab.
(APPROVED:RE-REG.)",18
SALOFALK 500mg tab.,19
AMRIPHYLLINE  0.05gm/5ml syrup,4
KETOFAN 12.5mg/5ml susp.,4
VITA-GUARD CAPS.,5
ENALAZIDE 10mg/12.5mg tab.,8
BETAGAN 0.5% ophthalmic solution,18
JOGEL oral gel,5
"STIMULAN 800mg tab.
(APPROVED:RE-REG.)",12
"STIMULAN 1gm/5ml amp.
(APPROVED:RE-REG.)",6
"ZOLAM 0.25mg tab.
(APPROVED:RE-REG.)",2
"ZOLAM 0.5mg tab.
(APPROVED:RE-REG)",4
"MELOCAM 7.5mg tab.
(APPROVED:RE-REG.)",6
KETORAL TAB. 10 mg,3
ACETAMEX 250mg tab.,2
OPTO Q3  0.3 % EYE DROPS,2
BRONCHALIN  tab.,2
HICONCIL 250mg caps.,4
"CODILAR  syrup
(APPROVED RE-REG)",4
BETADINE 0.1gm/1ml vaginal douche,6
BETADINE 7.5g/100ml surgical scrub,9
HICONCIL 500mg caps.,10
HICONCIL 100gm/ml paed.drops,6
ZITHROKAN 200mg/5ml pd. for oral susp.,15
SYNERPEN 375mg tab.,27
SYNERPEN 250mg/5ml susp.,21
FLUMOCIN 1gm vial,5
FLUMOCIN 500mg vial,3
EPILACTONE 25mg tab.,2
"CETAL 10% oral drops
(APPROVED RE-REG.)",2
GASTROMOTIL 100mg/100ml oral susp.,6
MERIONAL 75I.U.vial,49
FOSTIMON 75 I.U. I.M. vial,55
"A.T.G FRESENIUS 20mg/ml vial(Hospital)
(APPROVED RE-REG) (R1)",0
"A.T.G FRESENIUS 20mg/ml vial(Hospital)
(APPROVED RE-REG)",1100
RELAXINE 4mg tab.,11
"SIMVACOR 20 mg f.c.tab.
(APPROVED RE-REG.)",20
BETADERM 0.1% cream,2
GASTROFAIT 0.5gm tab.,4
RUMATOL 200 mg  hard gelatin caps.,15
M.P.A 40mg/ml vial,6
"KETAMAR 50mg/ml vial.10ml
(APPROVED:RE-REG.)",19
"NEUROTON coated tab.
(APPROVED RE-REG.)",8
"CORTILON 0.1mg tab.
(APPROVED:RE-REG)",2
FARMORUBICIN  RD 50mg vial,612
TOPIFRAM AGE SPOT FORMULA ( FADE CREAM ),29
MEXICAM 15mg rectal supp.,6
"LOVIR 400mg tab.
(APPROVED:RE-REG.)",10
SIMVASTAT 10mg tab.,21
SIMVASTAT 20mg tab.,26
"CETRIMIDE 200mg/20gm cream
(APPROVED RE-REG)",1
"DENTOCALM oral oint.
(APPROVED:RE-REG)",2
VIGAM LIQUID 5 % 2.5gm/50ml (R1),2200
VIGAM LIQUID 5 % 2.5gm/50ml,1130
DEXAMETHASONE SODIUM PHOSPHATE 8mg/2ml I.M/I.V amp USP 30.,2
XALATAN 50mcg/ml eye drops,110
EPILACTONE 100 mg tabs.,5
E-MOX 250mg/5ml susp. (R1),6
E-MOX 250mg/5ml susp.,5
"URO-VAXOM 60mg caps.
(APPRVED RE-REG)",25
AMPICILLIN 500mg vial,2
FARCO SOLVIN syrup,4
DEPOFORT B12 1mg/ml amp.,5
"MIOPAN 10.8gm/100ml susp.
(APPROVED RE-REG.)",4
SECNIDAZOLE 500mg tab.,7
"BETNOVATE N cream
(APPROVED:RE-REG)",5
PRAZIQUANTEL 1.8gm/15ml susp.,4
CORPRIL 2.5mg caps.,6
CORPRIL 5mg caps.,12
"VALPOKINE 200mg tab.
(APPROVED:RE-REG)",3
"KONAZOLE Cream   2 gm
(APPROVED:RE-REG.)",4
"RESTINE TAB.
(APPROVED RE-REG)",5
POTASAVE 100 mg scored tab.,5
"BETADINE ANTISEPTIC solution
(APPROVED:RE-REG)",9
PANTHENOL 500mg/2ml amp.,1
"FARCOLIN 2mg tab.
(APPROVED:RE-REG.)",2
"FARCOMETHACIN 1% topical solution
(APPROVED:RE-REG)",12
FLUMOCIN 250mg caps.,4
FLUMOCIN 500mg caps.,6
LOW-STEROL 10mg f.c.tab.,29
DOGMATIL 50mg hard gelatin caps. (R1),12
DOGMATIL 50mg hard gelatin caps.,4
"TINASEL CREAM 2.5 gm
(APPROVED:RE-REG.)",5
"LOMEX 400 mg tablet
(APPROVED RE-REG.)",25
EZALLIN 2%  paint,22
MITOXANTRON ASTA MEDICA 2mg/ml vial,480
LIV 52 tab.,2
CYSTONE tab.,16
EURAX 10% cream,6
EURAX 10% lotion,6
"TEGRETOL CR 400mg f.c.divitabs
(APPROVED RE-REG.)",12
"MELOCAM 15mg supp.
(APPROVED:RE-REG.)",6
BARILUX HD 96.805 % powder,25
"PYRAL  2.4g/100ml syrup
(APPROVED:RE-REG.)",2
"VIODERM HYDROCORTISONE cream
(APPROVED RE-REG.)",2
VITAPLEX FORTE caps.,26
"STOPAIN tab.
(APPROVED:RE-REG.)",2
"EXE-TOP syrup
(Approved re-reg)",4
MYOLAX  hard gelatin caps.,5
"PLEMAZOL 10mg tab.
(APPROVED:RE-REG.)",1
"BRUFEMOL susp.
(APPLIED FOR RE-REG) (R1)",3
"BRUFEMOL susp.
(APPLIED FOR RE-REG)",2
"MEGAFEN susp.
(APPROVED RE-REG) (R1)",5
"MEGAFEN susp.
(APPROVED RE-REG)",3
CLARITHRO 500mg f.c.tab.,40
SPASMOFEN amp. For I.M. inj.,4
TARIVAN 200mg tab.,12
L-CARNTTNE  caps. 350 mg,22
VIDROP oral drops (R1),5
VIDROP oral drops,4
AUGMENTIN 1gm tablet,29
RUMATOL 400 mg hard gelatin caps.,22
MISOTAC 200mcg tablet,11
HYCAMTIN 4mg vial,928
VISIPAQUE 320mg I/ml vial (R2),40
VISIPAQUE 320mg I/ml vial (R1),112
VISIPAQUE 320mg I/ml vial,200
LANVIS 40 mg tab.,157
"VALPAM 2mg tab.
(APPROVED:RE-REG.)",1
"VALPAM 5mg tab.
(APPROVED:RE-REG.)",1
"AMOPHAGE 500mg tab.
(APPROVED:RE-REG.)",2
BABY cream,4
"HAEMOSTOP 250mg tab.
(APPROVED:RE-REG.)",3
"HIBIOTIC 375mg tab.
(APPROVED:RE-REG.)",19
"XITHRONE 200 mg/5ml susp.
(APPROVED:RE-REG.) (R1)",17
"XITHRONE 200 mg/5ml susp.
(APPROVED:RE-REG.)",24
LISOPRIL 10mg tabs.,8
LISITENS 12.5/20mg tab.,16
KETODERM 2% top. Cream,5
AMITRIPTINE 75mg S.R.caps.,4
BABY CARE cream,4
CELEBREX 100mg caps.,27
CELEBREX 200mg caps.,25
"ALUCAL PLUS chew. tab.
(APPROVED:RE-REG)",2
MOBITIL 15mg tablet,10
MOBITIL 7.5mg tablet,6
SOMINALETTA 0.36gm/120ml elixir,1
INFLUVAC 2007/2008 suspension for inj 15MCG/0.5ml.,35
LAXOLAC SYRUP 3.35gm/5ml syp. (R1),11
LAXOLAC SYRUP 3.35gm/5ml syp.,6
"MOBITIL 15 MG SUPPOSITORY
(APPROVED:RE-REG.)",6
LANOXIN  0.05gm/litre paediatric elixir,18
"SUDOPHINE 10mg/5ml syrup
(APPROVED RE-REG.)",3
"VITAFERROL soft gelatin caps.
(APPROVED RE-REG)",4
TRIACTIN 2mg/5ml syrup,3
"PROSTRIDE 5mg caps.
(APPROVED:RE-REG.)",24
"ANTICOX II 15mg/3ml amp.
(APPROVED:RE-REG.)",2
"ADWIFLAM 75mg/3ml amp.
(approved re-reg)",2
"OSTEONATE 10mg tab.
(APPROVED:RE-REG.) (R1)",84
"OSTEONATE 10mg tab.
(APPROVED:RE-REG.)",28
"RIBAVARIN 400mg hard gelatin caps.
(Hospital)",36
"RIBAVARIN 200mg caps.
(Hospital)
(APPROVED:RE-REG.)",20
URIPAN 5mg tab.,4
"CIPRO  3.5mg/ml ear drops
(APPROVED RE-REG)",2
"EPILAT 10mg soft gelatin caps.
(APPROVED RE-REG.)",4
GASTROFAIT 1gm tab.,6
INDOMETHACIN 25mg soft gelatin caps.,3
INDOMETHACIN 50mg soft gelatin caps.,3
"VITAMIN E 100mg soft gelatin caps.
(APPROVED RE-REG)",2
KETOPROF  200mg E.R.caps.,6
FLOROSIN 20mg caps.,9
"DEXONIUM 0.1% eye drops
(APPROVED RE-REG.)",3
TOPLEXIL  syrup,4
DUROGESIC 100mcg/hr transdermal patch,783
DUROGESIC 75mcg/hr,636
DUROGESIC 50mcg/hr transdermal patch,500
DUROGESIC 25mcg/hr transdermal patch,278
FARMORUBICIN RD 10mg vial,131
THROMBOPHOB 60000 I.u/100gm gel,7
TOPZOL-V 400mg/20gm  vaginal cream,10
TAMOXIFEN  20mg tab.,18
HAES-STERIL 10% I.V.infusion,54
D.D.B 1.5mg pillules,12
ALBAPURE 20% I.V.infusion,210
"EZADOXINE tab
(APPROVED:RE-REG.)",5
"VITAMIN A & E soft gelatin caps.
(APPROVED RE-REG)",2
FEROSAC 100mg/5ml amp.,112
NORMOBRAL 400 mg SR f.c. tabs.,6
"ROYSAN 4mg tab.
(APPROVED:RE-REG.)",4
EMETREX tab.,6
ULTRAFEN 200mg tab.,4
"CEREBROGEN 1mg tab.
(APPROVED RE-REG) (R1)",6
"CEREBROGEN 1mg tab.
(APPROVED RE-REG)",3
BRONCAL 8mg S.R.caps.,8
BRONCAL 4mg S.R.caps.,4
PANOXYL 5% gel,6
TRAMAL 100mg/2ml amp.,7
"VIRU-MERZ SEROL 1gm/100gm gel
(APPROVED RE-REG)",10
CARBAMIDE 10% cream,3
E-MOX 125mg/5ml susp. (R1),4
E-MOX 125mg/5ml susp.,4
EPICOCILLIN 250mg caps.,4
EPICOCILLIN 500mg vial,2
FLUMOX 250/250 caps.,18
CETAL 500mg tab.,3
"CLOPAM 2mg tab.
(APPROVED:RE-REG)",5
BENZYL BENZOATE 20% cream,2
"ISOFLUORANE 100% inhalation solution
(hospital)",110
"HAEMOSTOP 250mg/2ml amp.
(APPROVED:RE-REG.)",4
BALKIS 0.1% nasal drops,2
BALKIS 0.05% nasal drops,2
KITI S.R. 200mg caps.,8
OCTOTRAMADOL 100mg amp.,6
BETADINE 10% oint. (R1),3
BETADINE 10% oint.,7
GASTROLUX 76% injection,60
NO-URIC 100mg tab.,6
NO-URIC 300mg tab.,6
"DECAL B12 syrup
(APPROVED RE-REG.)",4
ALLERGYL 2mg/5ml syrup,2
GLIBENASE 5mg tab.,1
RIVO MICRO 320 mg tab.,1
PEPZOL 40mg caps. (R1),32
PEPZOL 40mg caps.,16
UNICTAM vial 750 mg I.M/I.V,6
POLYTAR 1% liquid,8
PROFENAZONE  caps.,4
SALBOVENT FORTE 4mg tab.,2
FLAGENTYL 500mg f.c. tabs.,18
PRAZOLAM 0.5mg tab.,4
PRAZOLAM 0.25 mg  tab.,3
"FINORATE 100mg caps.
(APPROVED:RE-REG.)",4
ZANTAC 150mg f.c.tab.,10
NORCURON 4mg/ml amp.,18
SCANDONEST PLAIN 3 %,39
"ROSAGEL 0.75gm/100gm gel
(APPROVED RE-REG.)",4
COLDEX-2 f.c.tab.,2
LIVAMARIN 140mg sachets,4
SINGULAIR 5mg chewable tab.,38
"TUSSAPIN 20mg lozenge
(APPROVED RE-REG)",2
UNICTAM VIAL 375 mg I.m/I.v,4
"TOMAZINE 1mg/ml syrup
(APPROVED:RE-REG.)",6
VITAMINAT syrup,2
"DIAPHAGE 500mg tab.
(APPROVED:RE-REG.)",2
"NICE BABY oint.
(APPROVED:RE-REG.)",4
NORMALAX 0.75% oral drops,2
INNOHEP ANTI-XA 3500I.U. /0.35ml prefilled syringe,11
INNOHEP ANTI-XA 4500I.u./0.45 ml prefilled syringe,22
HEMOCURE 0.5% gel,4
BECOZYME I.M./I.V.amp.,35
"MONICURE PLUS vaginal supp.
(APPROVED RE-REG)",4
"MONICORT cream
(APPROVED RE-REG.) (R1)",5
"MONICORT cream
(APPROVED RE-REG.)",3
FAROSTAN FORTE 500mg tab.,3
GLUCOSAMINE COMPOUND  f.c.tab.,10
NOFLU tab.,2
TRITTICO 100mg tab.,8
MICONAZ powder,4
"FUSIDERM 2gm/100gm gel
(APPROVED:RE-REG.)",6
"HIBIOTIC 1000mg tab.
(APPROVED:RE-REG.)",25
DERMOPHARM 0.05% cream,5
NASOPHARM 0.05% spray,2
BETNOVATE N  ointment,5
NAPIZOLE 20mg caps.,23
NOVONORM 1mg tab.,19
NOVONORM 0.5mg tab,13
NOVONORM 2mg tab,19
"ULTRADOL 100mg amp.
(APPROVED:RE-REG.)",2
EPICEPHIN 500 mg I.V.vial,15
EPICEPHIN 500mg I.M.vial,15
PRIMPERAN 10mg scored tab.,2
"VERATENS 40mg tab.
(APPROVED RE-REG.)",2
"VERATENS 80mg tab.
(APROVED RE-REG.)",3
TRAMAL 50mg hard gelatin caps.,14
PENTAL 400mg S.R.tab.,9
BANEOCIN oint.,4
BANEOCIN powder,2
"DERMOCARE cream
(APPROVED RE-REG.)",2
ACTIFED EXPECTORANT  syrup,4
AMPICTAM 375mg tab.,30
AZADERM Cream 0.2 g /1g,18
EMERAL paed. supp.,1
LICID SPRAY,15
"LICID LOTION
(APPROVED RE-REG)",5
DEXTROSE 25% I.V.infusion (R1),3
DEXTROSE 25% I.V.infusion,3
RINGER`S I.V.infusion (R1),3
RINGER`S I.V.infusion,3
DEXTROSE 5% &  0.9 % SODIUM CLORIDE I.V.infusion (R1),3
DEXTROSE 5% &  0.9 % SODIUM CLORIDE I.V.infusion,3
SODIUM CHLORIDE 0.9% I.V. infusion (R1),3
SODIUM CHLORIDE 0.9% I.V. infusion,3
FUSI 2% cream,6
FUSI 20mg/gm oint.,6
EPITENS tab.,5
"SEDIPROCT SUPPOSITORY
(APPROVED:RE-REG.)",3
SINGULAIR 10mg f.c.tab.,41
CEVILENE drops 10 gm/100 ml,3
"TOPZOL 1% cream
(APPROVED:RE-REG.)",6
FUMIRON PLUS caps.,1
LOZAPRESS 50mg f.c. tablet,14
